segmentation,area,image_id,bbox,category_id,id_x,filename,height,width,id_y,date_captured
"[[264, 319, 274, 319, 274, 331, 264, 331]]",120,0,"[264, 319, 10, 12]",1,0,1_130_90_0_04077.jpg,512,640,0,20210116
"[[342, 295, 353, 295, 353, 308, 342, 308]]",143,0,"[342, 295, 11, 13]",1,1,1_130_90_0_04077.jpg,512,640,0,20210116
"[[330, 304, 341, 304, 341, 316, 330, 316]]",132,0,"[330, 304, 11, 12]",1,2,1_130_90_0_04077.jpg,512,640,0,20210116
"[[319, 328, 331, 328, 331, 343, 319, 343]]",180,0,"[319, 328, 12, 15]",1,3,1_130_90_0_04077.jpg,512,640,0,20210116
"[[325, 343, 339, 343, 339, 359, 325, 359]]",224,0,"[325, 343, 14, 16]",1,4,1_130_90_0_04077.jpg,512,640,0,20210116
"[[317, 358, 335, 358, 335, 370, 317, 370]]",216,0,"[317, 358, 18, 12]",1,5,1_130_90_0_04077.jpg,512,640,0,20210116
"[[343, 336, 377, 336, 377, 394, 343, 394]]",1972,1,"[343, 336, 34, 58]",1,6,0_110_50_0_08412.jpg,512,640,1,20210121
"[[404, 39, 440, 39, 440, 83, 404, 83]]",1584,1,"[404, 39, 36, 44]",1,7,0_110_50_0_08412.jpg,512,640,1,20210121
"[[405, 21, 416, 21, 416, 44, 405, 44]]",253,1,"[405, 21, 11, 23]",0,8,0_110_50_0_08412.jpg,512,640,1,20210121
"[[245, 279, 317, 279, 317, 331, 245, 331]]",3744,2,"[245, 279, 72, 52]",1,9,1_60_40_0_04117.jpg,512,640,2,20210116
"[[273, 240, 339, 240, 339, 287, 273, 287]]",3102,2,"[273, 240, 66, 47]",1,10,1_60_40_0_04117.jpg,512,640,2,20210116
"[[295, 221, 361, 221, 361, 267, 295, 267]]",3036,2,"[295, 221, 66, 46]",1,11,1_60_40_0_04117.jpg,512,640,2,20210116
"[[318, 185, 384, 185, 384, 231, 318, 231]]",3036,2,"[318, 185, 66, 46]",1,12,1_60_40_0_04117.jpg,512,640,2,20210116
"[[333, 168, 391, 168, 391, 210, 333, 210]]",2436,2,"[333, 168, 58, 42]",1,13,1_60_40_0_04117.jpg,512,640,2,20210116
"[[350, 155, 409, 155, 409, 195, 350, 195]]",2360,2,"[350, 155, 59, 40]",1,14,1_60_40_0_04117.jpg,512,640,2,20210116
"[[361, 140, 423, 140, 423, 180, 361, 180]]",2480,2,"[361, 140, 62, 40]",1,15,1_60_40_0_04117.jpg,512,640,2,20210116
"[[375, 125, 425, 125, 425, 160, 375, 160]]",1750,2,"[375, 125, 50, 35]",1,16,1_60_40_0_04117.jpg,512,640,2,20210116
"[[389, 108, 452, 108, 452, 151, 389, 151]]",2709,2,"[389, 108, 63, 43]",1,17,1_60_40_0_04117.jpg,512,640,2,20210116
"[[429, 81, 479, 81, 479, 117, 429, 117]]",1800,2,"[429, 81, 50, 36]",1,18,1_60_40_0_04117.jpg,512,640,2,20210116
"[[443, 65, 506, 65, 506, 108, 443, 108]]",2709,2,"[443, 65, 63, 43]",1,19,1_60_40_0_04117.jpg,512,640,2,20210116
"[[457, 51, 519, 51, 519, 94, 457, 94]]",2666,2,"[457, 51, 62, 43]",1,20,1_60_40_0_04117.jpg,512,640,2,20210116
"[[557, 84, 618, 84, 618, 115, 557, 115]]",1891,2,"[557, 84, 61, 31]",1,21,1_60_40_0_04117.jpg,512,640,2,20210116
"[[1, 268, 43, 268, 43, 302, 1, 302]]",1428,2,"[1, 268, 42, 34]",1,22,1_60_40_0_04117.jpg,512,640,2,20210116
"[[270, 151, 290, 151, 290, 175, 270, 175]]",480,3,"[270, 151, 20, 24]",0,23,0_80_80_0_02266.jpg,512,640,3,20210115
"[[282, 160, 310, 160, 310, 192, 282, 192]]",896,3,"[282, 160, 28, 32]",0,24,0_80_80_0_02266.jpg,512,640,3,20210115
"[[490, 0, 505, 0, 505, 12, 490, 12]]",180,3,"[490, 0, 15, 12]",0,25,0_80_80_0_02266.jpg,512,640,3,20210115
"[[413, 57, 430, 57, 430, 74, 413, 74]]",289,3,"[413, 57, 17, 17]",0,26,0_80_80_0_02266.jpg,512,640,3,20210115
"[[389, 114, 402, 114, 402, 135, 389, 135]]",273,3,"[389, 114, 13, 21]",0,27,0_80_80_0_02266.jpg,512,640,3,20210115
"[[467, 129, 478, 129, 478, 147, 467, 147]]",198,3,"[467, 129, 11, 18]",0,28,0_80_80_0_02266.jpg,512,640,3,20210115
"[[340, 226, 360, 226, 360, 237, 340, 237]]",220,3,"[340, 226, 20, 11]",0,29,0_80_80_0_02266.jpg,512,640,3,20210115
"[[334, 245, 352, 245, 352, 267, 334, 267]]",396,3,"[334, 245, 18, 22]",0,30,0_80_80_0_02266.jpg,512,640,3,20210115
"[[437, 170, 455, 170, 455, 191, 437, 191]]",378,3,"[437, 170, 18, 21]",0,31,0_80_80_0_02266.jpg,512,640,3,20210115
"[[452, 194, 474, 194, 474, 217, 452, 217]]",506,3,"[452, 194, 22, 23]",0,32,0_80_80_0_02266.jpg,512,640,3,20210115
"[[221, 172, 230, 172, 230, 186, 221, 186]]",126,4,"[221, 172, 9, 14]",0,33,1_130_50_0_03905.jpg,512,640,4,20210116
"[[277, 150, 287, 150, 287, 168, 277, 168]]",180,4,"[277, 150, 10, 18]",0,34,1_130_50_0_03905.jpg,512,640,4,20210116
"[[259, 177, 265, 177, 265, 190, 259, 190]]",78,4,"[259, 177, 6, 13]",0,35,1_130_50_0_03905.jpg,512,640,4,20210116
"[[263, 179, 268, 179, 268, 193, 263, 193]]",70,4,"[263, 179, 5, 14]",0,36,1_130_50_0_03905.jpg,512,640,4,20210116
"[[248, 199, 256, 199, 256, 216, 248, 216]]",136,4,"[248, 199, 8, 17]",0,37,1_130_50_0_03905.jpg,512,640,4,20210116
"[[253, 208, 263, 208, 263, 223, 253, 223]]",150,4,"[253, 208, 10, 15]",0,38,1_130_50_0_03905.jpg,512,640,4,20210116
"[[185, 393, 197, 393, 197, 421, 185, 421]]",336,5,"[185, 393, 12, 28]",0,39,1_60_70_0_00597.jpg,512,640,5,20201217
"[[176, 64, 191, 64, 191, 86, 176, 86]]",330,5,"[176, 64, 15, 22]",0,40,1_60_70_0_00597.jpg,512,640,5,20201217
"[[128, 488, 146, 488, 146, 511, 128, 511]]",414,5,"[128, 488, 18, 23]",0,41,1_60_70_0_00597.jpg,512,640,5,20201217
